org	reaction	rule	new_rule	old_rule_model_ids	genes_tested	growth_conditions	to_essential	to_essential_important	to_dispensable	to_dispensable_important	held_reason	changes_supported	verdict
Btheta	LCARS	R1	BT3767	NP_809448_1 or NP_812678_1	2	14	2	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (2 predictions to essential, none important); reaction-level route questionable	0	contradicted
Btheta	GALt2	R1	BT3589	NP_809349_1 or NP_812500_1	2	14	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (1 to essential, not important); galactose enters by other routes in vivo	0	contradicted
Putida	ACOADH2	R1	PP_3725	NP_745369_1 or NP_745857_1	2	28	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (1 to essential, not important)	0	contradicted
Putida	ACOAD20	R1	PP_3725	NP_745369_1 or NP_745857_1	2	28	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: as ACOADH2	0	contradicted
Putida	ACACT8r	R1	PP_3754	NP_742745_1 or NP_745884_1	2	28	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (1 to essential, not important)	0	contradicted
MR1	NPHS	R1	SO4739	NP_717986_1 or NP_720255_1	2	8	8	1	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (8 to essential, 1 important; SO4739 mean fitness -0.35): menaquinone is in the biomass template although ubiquinone serves aerobic growth — a biomass-template question, not a rule error	1	contradicted
Smeli	DNMPPA	R1	SMc03785	NP_385852_1 or NP_386423_1 or NP_387274_1 or NP_435571_1 or NP_435905_1	5	21	21	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (21 to essential, none important): folate uptake is deliberately not assumed in medium completion, and the dephosphorylation of dihydroneopterin monophosphate is commonly catalysed by nonspecific phosphatases, so a single-gene rule is probably wrong whatever the annotation	0	contradicted
Smeli	FBA2	R1	SM_b21192	NP_437020_1 or NP_437398_1	2	21	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (1 to essential, not important)	0	contradicted
Smeli	FBP	R1	SM_b20202	NP_385890_1 or NP_436735_1	2	21	9	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (9 to essential on gluconeogenic carbon sources, none important): SM_b20202 is the only annotated fructose-1,6-bisphosphatase in the genome (SM_RS18090, 'class 1 fructose-bisphosphatase', on pSymB) and no phosphatase-annotated gene has a phenotype in any of the 33 carbon-source conditions (only pckA SMc02562 and its regulator are gluconeogenesis-specific), so the activity is redundant or carried by an enzyme the annotation does not name	0	contradicted
Smeli	PGMT	R1	SM_b21081	NP_385030_1 or NP_386545_1 or NP_437200_1 or NP_437979_1	4	21	1	0	0	0	re-tested 5 Sept 2026 (scripts/evaluate_held_rules.py) on top of medium completion, the model patches and the later universe patches: still contradicted (1 to essential, not important)	0	contradicted
